model,scenario,timestamp,gpu_exp,success,final_score,driving_mile,complete_percentage,driving_time,decision_time,comfort_score,efficiency_score,safety_score,red_light_penalty,speed_limit_penalty,fail_penalty,exp_dir
interfuser,intersection,20250110_003814,gpu0_exp3,True,69.589,103.422,100.0,24.2,0.10447649342390511,0.184,0.085,0.5,1.0,0.905,1.0,interfuser_intersection_20250110_003814_gpu0_exp3
interfuser,ramp,20250110_003814,gpu3_exp9,True,60.317,192.728,100.0,31.4,0.11829402043034855,0.164,0.232,0.466,0.7,1.0,1.0,interfuser_ramp_20250110_003814_gpu3_exp9
interfuser,roundabout,20250110_003814,gpu3_exp9,False,0.0,1.95,1.326,2.8,0.12382772233751085,0.0,0.0,0.0,1.0,1.0,0.6,interfuser_roundabout_20250110_003814_gpu3_exp9
Limsimtm,intersection,20250109_003211,gpu0_exp1,True,85.482,103.422,100.0,19.5,0.0313253779160349,0.202,0.152,0.5,1.0,1.0,1.0,Limsimtm_intersection_20250109_003211_gpu0_exp1
VLMagentCloseLoop,long,term_20250108,181109_gpu0_exp2,True,34.34,1002.987,100.0,134.5,9.056783484337025,0.175,0.148,0.487,0.49,0.865,1.0,VLMagentCloseLoop_long_term_20250108_181109_gpu0_exp2
Limsimtm,roundabout,20250109_003211,gpu2_exp6,True,46.925,147.008,100.0,18.0,0.04416270817027373,0.092,0.232,0.5,1.0,0.57,1.0,Limsimtm_roundabout_20250109_003211_gpu2_exp6
Limsimtm,intersection,20250109_003211,gpu3_exp8,True,86.403,103.422,100.0,19.5,0.0294742835195441,0.212,0.152,0.5,1.0,1.0,1.0,Limsimtm_intersection_20250109_003211_gpu3_exp8
PDM,straight,20250109_003211,gpu2_exp6,True,37.842,341.933,100.0,34.0,0.016991387426325704,0.146,0.25,0.459,1.0,0.442,1.0,PDM_straight_20250109_003211_gpu2_exp6
interfuser,intersection,20250110_003814,gpu3_exp9,True,63.318,103.422,100.0,24.3,0.10515084049918434,0.185,0.089,0.5,1.0,0.818,1.0,interfuser_intersection_20250110_003814_gpu3_exp9
Limsimtm,ramp,20250109_003211,gpu2_exp7,True,58.213,192.728,100.0,21.8,0.13241660027276903,0.169,0.163,0.5,0.7,1.0,1.0,Limsimtm_ramp_20250109_003211_gpu2_exp7
VLMagentCloseLoop,roundabout,20250109_003211,gpu1_exp4,True,62.291,147.008,100.0,21.4,9.68947092294693,0.109,0.226,0.5,1.0,0.746,1.0,VLMagentCloseLoop_roundabout_20250109_003211_gpu1_exp4
Limsimtm,straight,20250109_003211,gpu2_exp6,True,56.63,341.933,100.0,38.0,0.08259646956985062,0.213,0.232,0.5,1.0,0.599,1.0,Limsimtm_straight_20250109_003211_gpu2_exp6
interfuser,curve,20250110_003814,gpu2_exp6,True,87.339,247.67,100.0,30.6,0.10329094402125624,0.179,0.194,0.5,1.0,1.0,1.0,interfuser_curve_20250110_003814_gpu2_exp6
Limsimtm,long,term_20250108,225630_gpu3_exp8,False,8.185,163.381,16.289,18.1,0.08112055725521511,0.21,0.189,0.5,1.0,0.932,0.6,Limsimtm_long_term_20250108_225630_gpu3_exp8
PDM,long,term_20250108,225630_gpu0_exp2,True,73.997,1002.987,100.0,133.1,0.015565874522789977,0.137,0.214,0.498,1.0,0.871,1.0,PDM_long_term_20250108_225630_gpu0_exp2
PDM,intersection,20250109_003211,gpu3_exp10,True,73.527,103.422,100.0,17.0,0.013733829972306651,0.179,0.176,0.5,1.0,0.86,1.0,PDM_intersection_20250109_003211_gpu3_exp10
PDM,long,term_20250108,225630_gpu0_exp1,False,17.302,450.961,44.962,78.5,0.017343412248455748,0.164,0.219,0.334,1.0,0.894,0.6,PDM_long_term_20250108_225630_gpu0_exp1
PDM,straight,20250109_003211,gpu1_exp5,True,42.298,341.933,100.0,33.9,0.015550267696380616,0.137,0.229,0.498,1.0,0.49,1.0,PDM_straight_20250109_003211_gpu1_exp5
interfuser,long,term_20250110,003814_gpu1_exp4,False,4.799,177.267,17.674,27.1,0.10137437537864402,0.136,0.169,0.5,0.7,0.803,0.6,interfuser_long_term_20250110_003814_gpu1_exp4
Limsimtm,ramp,20250109_003211,gpu3_exp8,False,28.528,134.538,69.807,21.0,0.1837405562400818,0.181,0.239,0.262,1.0,1.0,0.6,Limsimtm_ramp_20250109_003211_gpu3_exp8
VLMagentCloseLoop,roundabout,20250109_003211,gpu1_exp5,True,85.326,147.008,100.0,22.4,12.128436122621808,0.134,0.219,0.5,1.0,1.0,1.0,VLMagentCloseLoop_roundabout_20250109_003211_gpu1_exp5
PDM,curve,20250109_003211,gpu3_exp10,True,69.615,247.67,100.0,24.5,0.015713590090392065,0.13,0.221,0.5,1.0,0.818,1.0,PDM_curve_20250109_003211_gpu3_exp10
